,0,1
0,台灣虎航,3106
1,TWD,2507
2,IT,2052
3,航班,1692
4,台北,1519
5,優惠,1311
6,單程,1110
7,未稅,1067
8,http,1046
9,虎迷,1043
10,活動,868
11,機票,849
12,訂位,822
13,時間,777
14,澳門,766
15,機場稅,760
16,期間,758
17,2018,753
18,東京,712
19,大阪,695
20,日本,664
21,桃園,654
22,tw,653
23,tigerairtw,618
24,更改,616
25,注意事項,590
26,2017,574
27,適用於,572
28,沖繩,569
29,優惠價,554
30,搭乘,539
31,2016,526
32,日期,513
33,參考,510
34,名古屋,510
35,Taoyuan,503
36,購票,491
37,使用,471
38,票價,465
39,網頁,459
40,確認,455
41,金額,447
42,APP,446
43,旅客,438
44,起飛,435
45,岡山,433
46,元起,429
47,depart,421
48,出發,412
49,曼谷,409
50,成田,408
51,說明,400
52,可以,399
53,福岡,397
54,來回,395
55,銷售,391
56,機位,389
57,不可,389
58,取消,384
59,行程,381
60,有限,381
61,開放,378
62,大邱,378
63,Taiwan,372
64,機場,368
65,Tigerair,358
66,手機,349
67,付款,349
68,售完,336
69,訂票,331
70,航線,329
71,以及,327
72,用於,324
73,系統,323
74,持卡人,314
75,tigerair,313
76,失敗,312
77,服務,311
78,促銷,305
79,旅遊,289
80,留言,287
81,不適,287
82,late,284
83,完成,277
84,機位數,274
85,最新,273
86,只要,268
87,適用,266
88,仙台,265
89,現場,263
90,Android,253
91,免費,252
92,售價,251
93,flight,248
94,機會,247
95,就是,247
96,代號,245
97,本次,243
98,含稅價,242
99,以上,240
