,key,value
0,台灣虎航,0.2171661804400896
1,TWD,0.1752851301877993
2,優惠,0.09166286624499595
3,航班,0.08532697350442152
4,單程,0.07760929178638101
5,未稅,0.07460280570816986
6,台北,0.07416092772250266
7,http,0.07313452180950859
8,虎迷,0.0729247669668427
9,活動,0.06068906781133218
10,機票,0.05936062047444818
11,訂位,0.05747282689045513
12,時間,0.05432650425046671
13,澳門,0.05355740316069176
14,機場稅,0.05313789347535997
15,期間,0.05299805691358271
16,東京,0.04978181599270566
17,2018,0.04880296006026482
18,桃園,0.04572655570116503
19,tw,0.0456566374202764
20,高雄,0.045530365476947394
21,tigerairtw,0.04320949758917429
22,注意事項,0.04125178572429261
23,適用於,0.03999325666829724
24,沖繩,0.03978350182563135
25,2017,0.03929407385941093
26,優惠價,0.03873472761230187
27,大阪,0.03665545865603426
28,2016,0.03663717918564293
29,參考,0.03565832325320209
30,Taoyuan,0.035168895286981666
31,購票,0.03432987591631809
32,票價,0.03251200061321367
33,網頁,0.03209249092788188
34,確認,0.031812817804327355
35,名古屋,0.031418656520686386
36,金額,0.0312534715572183
37,APP,0.03118355327632967
38,更改,0.030867943157556702
39,搭乘,0.03066094978384345
40,起飛,0.03041445218655472
41,岡山,0.03027461562477746
42,元起,0.02999494250122293
43,depart,0.02943559625411388
44,出發,0.028806331726116196
45,成田,0.028208023844629254
46,說明,0.027967312355452616
47,福岡,0.027757557512786725
48,大邱,0.027666285831024318
49,來回,0.02761772095100946
50,銷售,0.027338047827454935
51,機位,0.02719821126567767
52,為止,0.026499028456791356
53,開放,0.026429110175902725
54,Taiwan,0.026009600490570935
55,機場,0.02572992736701641
56,Tigerair,0.02503074455813009
57,手機,0.02440148003013241
58,訂票,0.02314295097413704
59,航線,0.02300311441235978
60,用於,0.02265352300791662
61,系統,0.02258360472702799
62,售完,0.0219948463785802
63,tigerair,0.021884421918141675
64,曼谷,0.02183953368337948
65,失敗,0.02181450363725304
66,服務,0.02174458535636441
67,促銷,0.02132507567103262
68,日期,0.021056937062630805
69,旅客,0.020699842603721798
70,旅遊,0.020206383176814516
71,不適,0.020066546615037255
72,late,0.01985679177237136
73,日本,0.019441110518905617
74,官網,0.019227527244373675
75,機位數,0.019157608963485045
76,適用,0.01859826271637599
77,開賣,0.018458426154598726
78,現場,0.018388507873710096
79,付款,0.018014181837984464
80,仙台,0.017827825914353557
81,行程,0.017738434093168054
82,Android,0.01768932506482378
83,免費,0.01761940678393515
84,持卡人,0.017550723937359958
85,售價,0.017549488503046516
86,flight,0.017339733660380625
87,機會,0.01726981537949199
88,代號,0.01712997881771473
89,含稅價,0.016920223975048835
90,小編,0.0168503056941602
91,號碼,0.01671046913238294
92,獲得,0.01636087772793978
93,留言,0.01544289235787194
94,航點,0.015312103514610308
95,台灣,0.015172266952833045
96,2015,0.014752757267501256
97,取消,0.014686294777415166
98,得獎,0.014612920705723993
99,報名,0.01454300242483536
100,開頭,0.014263329301280835
101,訊息,0.014193411020392203
102,函館,0.013913737896837678
103,小時,0.013843819615949046
104,服務費,0.013703983054171783
105,權利,0.013703983054171783
106,有限,0.013644587399790152
107,無法,0.01363406477328315
108,瀏覽器,0.013354391649728625
109,羽田,0.012901036246211181
110,9月,0.012795045402619573
111,當地,0.01265520884084231
112,預定,0.01265520884084231
113,2019,0.01265520884084231
114,不可,0.012465997776605607
115,使用,0.012440942748675826
116,用戶,0.012375535717287783
117,體驗,0.012305617436399153
118,購買,0.012305617436399153
119,旅展,0.012305617436399153
120,另行通知,0.012292533690414782
121,cancelled,0.012165780874621888
122,詳見,0.012095862593733258
123,權益,0.01181618947017873
124,嬰兒,0.01181618947017873
125,釜山,0.011764781862834682
126,7月,0.011676352908401468
127,銀行,0.011606434627512836
128,參加,0.011536516346624205
129,轉讓,0.011536516346624205
130,得獎者,0.011466598065735573
131,這裡,0.01132676150395831
132,抽獎,0.011186924942181048
133,中獎,0.01083733353773789
134,退款,0.010685433228984338
135,建議,0.010487742133294732
136,關西,0.010487742133294732
137,準備,0.0104178238524061
138,行動,0.0104178238524061
139,go,0.010347905571517468
140,相關,0.010208069009740205
141,進入,0.010208069009740205
142,務必,0.010068232447962943
143,PR,0.010068232447962943
144,flights,0.010068232447962943
145,茨城,0.009887379375251196
146,訂單,0.009858477605297048
147,資訊,0.009788559324408416
148,餐點,0.009788559324408416
149,異動,0.009788559324408416
